Date,ADSK,AEM,AFRM,AMBA,BABA,BF-A,BF-B,BHC,BIDU,BILI,BTDR,BTU,CDE,CELH,CIFR,CNXC,COO,DOOO,EMN,EQX,FSM,GFI,GH,GSAT,HCC,HL,HMY,HP,IAG,IREN,JOYY,KGC,LCID,MIAX,MOH,NG,NGD,NXE,OLN,OS,PRVA,S,SATS,SBSW,SJM,SNDK,SOUN,SSRM,UPWK,WPM
2024-10-01,283.79998779296875,85.2261734008789,43.849998474121094,56.189998626708984,96.35148620605469,42.7372932434082,43.18027114868164,9.199999809265137,91.2300033569336,22.1200008392334,7.789999961853027,25.83538246154785,6.440000057220459,30.079999923706055,4.929999828338623,41.43667984008789,104.68000030517578,48.75601577758789,102.16374206542969,5.539999961853027,4.96999979019165,16.182167053222656,21.8799991607666,15.75,62.75331497192383,6.460575580596924,10.704061508178711,32.16194152832031,5.539999961853027,9.119999885559082,32.63609313964844,9.986554145812988,22.100000381469727,,321.2200012207031,3.4600000381469727,2.75,7.360000133514404,39.802032470703125,29.520000457763672,18.360000610351562,25.790000915527344,25.059999465942383,4.670000076293945,109.09465789794922,,5.03000020980835,6.170000076293945,13.5600004196167,65.58076477050781
2024-11-01,291.8999938964844,83.37921905517578,70.01000213623047,71.55000305175781,85.91783142089844,40.560218811035156,41.267906188964844,8.369999885559082,85.05000305175781,19.170000076293945,14.270000457763672,23.455421447753906,6.460000038146973,28.450000762939453,6.699999809265137,44.13597869873047,104.45999908447266,48.22164535522461,101.8040542602539,5.650000095367432,4.78000020980835,14.228132247924805,35.61000061035156,29.25,69.9004135131836,5.494973182678223,9.122093200683594,33.14785385131836,5.5,13.510000228881836,37.23677062988281,9.619983673095703,21.799999237060547,,297.8999938964844,3.6600000858306885,2.75,8.4399995803833,41.315338134765625,29.889999389648438,21.479999542236328,27.950000762939453,25.290000915527344,4.090000152587891,113.20817565917969,,9.3100004196167,5.809999942779541,16.969999313354492,61.92469024658203
2024-12-01,295.57000732421875,77.61737823486328,60.900001525878906,72.73999786376953,83.3807144165039,36.961181640625,37.247032165527344,8.0600004196167,84.30999755859375,18.110000610351562,21.670000076293945,20.649555206298828,5.71999979019165,26.34000015258789,4.639999866485596,42.48640441894531,91.93000030517578,50.33932113647461,88.77718353271484,5.019999980926514,4.289999961853027,12.961445808410645,30.549999237060547,31.049999237060547,53.982234954833984,4.899923324584961,8.149334907531738,30.87761116027832,5.159999847412109,9.819999694824219,40.11219787597656,9.21175479888916,30.200000762939453,,291.04998779296875,3.3299999237060547,2.4800000190734863,6.599999904632568,32.94202423095703,28.520000457763672,19.549999237060547,22.200000762939453,22.899999618530273,3.299999952316284,106.87876892089844,,19.84000015258789,6.960000038146973,16.350000381469727,56.01218795776367
2025-01-01,311.3399963378906,92.23577117919922,61.06999969482422,76.72000122070312,97.19718170166016,32.840946197509766,32.53569412231445,7.429999828338623,90.5999984741211,16.719999313354492,18.520000457763672,17.89825439453125,6.599999904632568,24.979999542236328,5.730000019073486,51.33323287963867,96.55000305175781,47.44883346557617,97.69847106933594,6.070000171661377,5.070000171661377,16.62403678894043,46.97999954223633,22.950000762939453,52.51921844482422,5.6683430671691895,11.186724662780762,30.462953567504883,6.239999771118164,10.220000267028809,41.54991149902344,11.209124565124512,27.600000381469727,,310.4100036621094,3.130000114440918,3.0199999809265137,6.559999942779541,28.546506881713867,29.780000686645508,22.850000381469727,23.950000762939453,27.65999984741211,3.809999942779541,103.74384307861328,,14.149999618530273,8.029999732971191,15.760000228881836,62.216949462890625
2025-02-01,274.2099914550781,95.55046081542969,64.1500015258789,61.43000030517578,130.30755615234375,32.55511474609375,32.63425827026367,7.440000057220459,86.44999694824219,20.34000015258789,12.3100004196167,13.598727226257324,5.150000095367432,25.690000534057617,4.079999923706055,44.619956970214844,90.37999725341797,39.3504753112793,95.93372344970703,6.420000076293945,4.320000171661377,17.645240783691406,42.54999923706055,21.59000015258789,47.91122055053711,5.119472026824951,9.876477241516113,25.564193725585938,5.519999980926514,8.239999771118164,44.847068786621094,10.652643203735352,22.200000762939453,,301.1199951171875,3.0,2.7200000286102295,5.289999961853027,24.74550437927246,23.299999237060547,24.969999313354492,20.6299991607666,31.229999542236328,3.190000057220459,107.27669525146484,,10.819999694824219,9.989999771118164,15.930000305175781,68.64082336425781
2025-03-01,261.79998779296875,108.04304504394531,45.189998626708984,50.33000183105469,130.03221130371094,32.988792419433594,33.45233154296875,6.46999979019165,92.02999877929688,19.110000610351562,8.829999923706055,13.425583839416504,5.920000076293945,35.619998931884766,2.299999952316284,54.97462844848633,84.3499984741211,33.55459213256836,86.38446807861328,6.880000114440918,6.099999904632568,21.69078254699707,42.599998474121094,20.860000610351562,47.57558059692383,5.54858922958374,14.66086196899414,25.42098617553711,6.25,6.090000152587891,40.23680114746094,12.530767440795898,24.200000762939453,,329.3900146484375,2.9200000762939453,3.7100000381469727,4.489999771118164,23.62469482421875,21.34000015258789,22.450000762939453,18.18000030517578,25.579999923706055,4.579999923706055,116.1171875,47.61000061035156,8.119999885559082,10.029999732971191,13.050000190734863,77.31553649902344
2025-04-01,274.25,117.18199920654297,49.7599983215332,47.9900016784668,117.44496154785156,34.330509185791016,34.558650970458984,5.300000190734863,87.81999969482422,17.5,9.569999694824219,12.226694107055664,5.550000190734863,34.959999084472656,2.8499999046325684,50.44940185546875,81.66999816894531,33.63398361206055,76.19049835205078,6.699999809265137,6.25,22.540000915527344,47.22999954223633,19.219999313354492,47.67527770996094,5.712469100952148,15.792437553405762,18.384471893310547,7.079999923706055,6.110000133514404,39.45085144042969,14.706900596618652,25.100000381469727,,327.010009765625,4.230000019073486,3.9800000190734863,5.230000019073486,21.239839553833008,21.399999618530273,23.479999542236328,18.5,22.479999542236328,4.650000095367432,114.01861572265625,32.11000061035156,9.289999961853027,10.640000343322754,13.149999618530273,83.18167877197266
2025-05-01,296.1199951171875,117.59060668945312,51.900001525878906,52.63999938964844,111.94786834716797,32.96165466308594,33.07076644897461,4.53000020980835,81.9000015258789,18.299999237060547,12.859999656677246,13.039164543151855,8.079999923706055,37.880001068115234,3.119999885559082,55.65837860107422,68.27999877929688,43.85727310180664,77.54609680175781,6.630000114440918,5.849999904632568,23.0,40.619998931884766,18.459999084472656,45.31245422363281,5.133232593536377,14.59000015258789,14.841885566711426,6.860000133514404,8.390000343322754,46.976966857910156,14.69693660736084,22.299999237060547,,305.0400085449219,3.5799999237060547,4.449999809265137,6.179999828338623,19.068696975708008,28.059999465942383,22.760000228881836,17.610000610351562,17.729999542236328,6.090000152587891,110.42948913574219,37.689998626708984,10.109999656677246,11.829999923706055,15.489999771118164,86.58262634277344
2025-06-01,309.57000732421875,118.93000030517578,69.13999938964844,66.06999969482422,111.5250244140625,27.248167037963867,26.692689895629883,6.659999847412109,85.76000213623047,21.450000762939453,11.479999542236328,13.365059852600098,8.859999656677246,46.38999938964844,4.78000020980835,52.5654182434082,71.16000366210938,48.312774658203125,73.8750991821289,5.75,6.539999961853027,23.670000076293945,52.040000915527344,23.549999237060547,45.7685661315918,5.986884117126465,13.970000267028809,14.953460693359375,7.349999904632568,14.569999694824219,49.94982147216797,15.605424880981445,21.100000381469727,,297.8999938964844,4.090000152587891,4.949999809265137,6.940000057220459,19.91748046875,28.299999237060547,23.0,18.280000686645508,27.700000762939453,7.21999979019165,97.2306900024414,45.349998474121094,10.729999542236328,12.739999771118164,13.4399995803833,89.80000305175781
2025-07-01,303.1099853515625,124.36000061035156,68.55999755859375,66.08999633789062,120.62999725341797,28.639999389648438,28.850000381469727,5.889999866485596,87.87000274658203,22.81999969482422,12.890000343322754,16.08388328552246,8.6899995803833,45.34000015258789,5.460000038146973,51.68526840209961,70.69000244140625,50.5099983215332,72.61000061035156,6.099999904632568,6.449999809265137,24.360000610351562,40.97999954223633,23.489999771118164,51.311126708984375,5.737013816833496,13.460000038146973,15.989154815673828,6.760000228881836,16.110000610351562,50.20000076293945,15.97484302520752,24.600000381469727,,157.8699951171875,5.190000057220459,4.190000057220459,6.710000038146973,18.777355194091797,23.850000381469727,19.520000457763672,18.34000015258789,32.59000015258789,8.359999656677246,106.28047180175781,42.91999816894531,10.329999923706055,11.949999809265137,11.960000038146973,91.51000213623047
